This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-68263085 (margin) since 8/1/25 through 8/1/25

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.08 CST,,,,"1,000,000,000.00"
8/1/25,09:41:44,TRD,5216285390,"SOLD -200,000 NVDA @172.91",-584.44,,"34,582,000.00","1,034,581,415.56"
8/1/25,09:45:18,TRD,5216298505,"SOLD -50,000 AAPL @208.42",-176.11,,"10,421,000.00","1,045,002,239.45"
8/1/25,09:47:58,TRD,5216306445,"BOT +10,000,000 SGOV @100.40",,,"-1,004,000,000.00","41,002,239.45"
8/1/25,10:09:03,TRD,5216363081,"BOT +200,000 NVDA @172.85",,,"-34,570,000.00","6,432,239.45"
8/1/25,10:30:23,TRD,5216412207,"BOT +12,000 NFLX @1172.03",,,"-14,064,360.00","-7,632,120.55"
8/1/25,10:39:43,TRD,5216427947,"SOLD -100,000 GOOGL @189.76",-320.69,,"18,976,000.00","11,343,558.76"
8/1/25,10:41:47,TRD,5216431149,BOT +150 SPX 100 (Weeklys) 1 AUG 25 6240 PUT @13.20,-78.90,-97.50,"-198,000.00","11,145,382.36"
8/1/25,11:55:01,TRD,5216525172,"BOT +100,000 NVDA @176.08",,,"-17,608,000.00","-6,462,617.64"
8/1/25,11:57:25,TRD,5216528506,SOLD -150 SPX 100 (Weeklys) 1 AUG 25 6240 PUT @7.90,-78.90,-97.50,"118,500.00","-6,344,294.04"
8/1/25,12:00:05,TRD,5216530515,BOT +200 SPX 100 (Weeklys) 1 AUG 25 6255 CALL @15.90,-105.20,-130.00,"-318,000.00","-6,662,529.24"
8/1/25,12:29:53,TRD,5216558960,"SOLD -100,000 NVDA @175.78",-297.07,,"17,578,000.00","10,915,173.69"
8/1/25,12:30:17,TRD,5216558986,SOLD -200 SPX 100 (Weeklys) 1 AUG 25 6255 CALL @15.50,-105.20,-130.00,"310,000.00","11,224,938.49"
8/1/25,12:35:25,TRD,5216564368,"SOLD -10,000 NVDA @175.78",-29.71,,"1,757,800.00","12,982,708.78"
8/1/25,12:36:05,TRD,5216564395,"SOLD -90,000 NVDA @175.84",-267.45,,"15,825,600.00","28,808,041.33"
8/1/25,14:24:43,TRD,5216661040,"BOT +100,000 NVDA @172.84",,,"-17,284,000.00","11,524,041.33"
,,,,TOTAL,"($2,043.67)",($455.00),"($988,473,460.00)","$11,524,041.33"

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance
,8/1/25,01:00:00,BAL,--,Cash balance at the start of the business day 01.08 CST.,--,--,--,"$10,000.00"

 
"Total Cash $11,524,041.33"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,8/1/25 14:24:43,STOCK,BUY,+100000,TO CLOSE,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,RE #5216661035,,,,,,,,,,,
,,8/1/25 14:24:43,STOCK,BUY,100%,TO CLOSE,NVDA,,,STOCK,~,MKT,DAY,TRIGGERED
,,8/1/25 13:37:10,STOCK,BUY,+100000,TO CLOSE,NVDA,,,STOCK,165.45,LMT,DAY,CANCELED
,,,RE #5216566326,,,,,,,,,,,
,,,OCO #5216566325,,,,,,,,,,,
,,8/1/25 12:59:54,STOCK,BUY,+100000,TO CLOSE,GOOGL,,,STOCK,148.77,LMT,DAY,EXPIRED
,,,RE #5216427949,,,,,,,,,,,
,,,TRG BY #5216427947,,,,,,,,,,,
,,,OCO #5216427948,,,,,,,,,,,
,,8/1/25 12:37:38,STOCK,BUY,+100000,TO CLOSE,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #5216566327,,,,,,,,177.37,STP,STD,
,,,OCO #5216566325,,,,,,,,,,,
,,8/1/25 12:37:10,STOCK,BUY,+100000,TO CLOSE,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,OCO #5216566325,,,,,,,,176.76,STP,STD,
,,8/1/25 12:37:10,STOCK,BUY,+100000,TO CLOSE,NVDA,,,STOCK,171.00,LMT,DAY,CANCELED
,,,OCO #5216566325,,,,,,,,,,,
,,8/1/25 12:36:36,STOCK,BUY,+10000,TO CLOSE,NVDA,,,STOCK,171.15,LMT,DAY,CANCELED
,,,RE #5216564370,,,,,,,,,,,
,,,TRG BY #5216564368,,,,,,,,,,,
,,,OCO #5216564369,,,,,,,,,,,
,,8/1/25 12:35:58,STOCK,SELL,-90000,TO OPEN,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,8/1/25 12:35:25,STOCK,BUY,+10000,TO CLOSE,NVDA,,,STOCK,174.42,LMT,DAY,CANCELED
,,,RE #5216564370,,,,,,,,,,,
,,,TRG BY #5216564368,,,,,,,,,,,
,,,OCO #5216564369,,,,,,,,,,,
,,8/1/25 12:35:19,STOCK,BUY,+10000,TO CLOSE,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,TRG BY #5216564368,,,,,,,,BASE+1.00,STP,STD,
,,,OCO #5216564369,,,,,,,,176.77,STP,,
,,8/1/25 12:35:19,STOCK,BUY,+10000,TO CLOSE,NVDA,,,STOCK,BASE-1.02,LMT,DAY,CANCELED
,,,TRG BY #5216564368,,,,,,,,174.75,LMT,,
,,,OCO #5216564369,,,,,,,,,,,
,,8/1/25 12:35:19,STOCK,SELL,-10000,TO OPEN,NVDA,,,STOCK,175.77,LMT,DAY,FILLED
,,8/1/25 12:30:16,SINGLE,SELL,-200,TO CLOSE,SPX,1 AUG 25,6255,CALL,~,MKT,DAY,FILLED
,,8/1/25 12:29:53,STOCK,SELL,-100000,TO CLOSE,NVDA,,,STOCK,~,MKT,GTC,FILLED
,,,RE #5216526910,,,,,,,,175.78,STP,STD,
,,,OCO #5216526908,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,~,MKT,GTC,WAIT TRG
,,,TRG BY #5216556459,,,,,,,,BASE+149.28,STP,STD,
,,,OCO #5216556460,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,BASE-1001.00,LMT,GTC,WAIT TRG
,,,TRG BY #5216556459,,,,,,,,,,,
,,,OCO #5216556460,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,SELL,-2500,TO OPEN,FICO,,,STOCK,1442.72,LMT,GTC,WORKING
,,8/1/25 12:16:48,STOCK,SELL,-100000,TO CLOSE,NVDA,,,STOCK,~,MKT,GTC,CANCELED
,,,RE #5216526910,,,,,,,,175.29,STP,STD,
,,,OCO #5216526908,,,,,,,,,,,
,,8/1/25 11:59:51,SINGLE,BUY,+200,TO OPEN,SPX,1 AUG 25,6255,CALL,16.10,LMT,DAY,FILLED
,,8/1/25 11:57:19,SINGLE,SELL,-150,TO CLOSE,SPX,1 AUG 25,6240,PUT,~,MKT,DAY,FILLED
,,8/1/25 11:56:54,STOCK,SELL,-100000,TO CLOSE,NVDA,,,STOCK,~,MKT,GTC,CANCELED
,,,RE #5216526910,,,,,,,,175.47,STP,STD,
,,,OCO #5216526908,,,,,,,,,,,
,,8/1/25 11:55:43,STOCK,SELL,-100000,TO CLOSE,NVDA,,,STOCK,~,MKT,GTC,CANCELED
,,,OCO #5216526908,,,,,,,,174.14,STP,STD,
,,8/1/25 11:55:43,STOCK,SELL,-100000,TO CLOSE,NVDA,,,STOCK,183.00,LMT,GTC,CANCELED
,,,OCO #5216526908,,,,,,,,,,,
,,8/1/25 11:54:57,STOCK,BUY,+100000,TO OPEN,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,8/1/25 11:51:18,SINGLE,SELL,-150,TO CLOSE,SPX,1 AUG 25,6240,PUT,31.00,LMT,DAY,CANCELED
,,8/1/25 10:41:41,SINGLE,BUY,+150,TO OPEN,SPX,1 AUG 25,6240,PUT,~,MKT,DAY,FILLED
,,8/1/25 10:39:39,STOCK,BUY,+100000,TO CLOSE,GOOGL,,,STOCK,~,MKT,DAY,EXPIRED
,,,TRG BY #5216427947,,,,,,,,BASE+3.00,STP,STD,
,,,OCO #5216427948,,,,,,,,192.70,STP,,
,,8/1/25 10:39:39,STOCK,BUY,+100000,TO CLOSE,GOOGL,,,STOCK,BASE-101.00,LMT,DAY,CANCELED
,,,TRG BY #5216427947,,,,,,,,88.70,LMT,,
,,,OCO #5216427948,,,,,,,,,,,
,,8/1/25 10:39:39,STOCK,SELL,-100000,TO OPEN,GOOGL,,,STOCK,189.70,LMT,DAY,FILLED
,,8/1/25 10:30:23,STOCK,SELL,-12000,TO CLOSE,NFLX,,,STOCK,BASE+1001.00,LMT,DAY,EXPIRED
,,,RE #5216389988,,,,,,,,2173.33,LMT,,
,,,TRG BY #5216412209,,,,,,,,,,,
,,,OCO #5216389987,,,,,,,,,,,
,,8/1/25 10:30:23,STOCK,SELL,-12000,TO CLOSE,NFLX,,,STOCK,~,MKT,DAY,EXPIRED
,,,RE #5216389989,,,,,,,,1152.30,STP,STD,
