This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-68263085 (margin) since 8/5/25 through 8/5/25

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
8/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.08 CST,,,,"7,767,405.23"
8/5/25,09:30:11,TRD,5217484402,BOT +200 /NQU25:XCME @23349.00,,-450.00,,"7,766,955.23"
8/5/25,09:30:27,TRD,5217484427,BOT +200 /NQU25:XCME @23347.00,,-450.00,,"7,766,505.23"
8/5/25,09:45:46,TRD,5217535009,BOT +100 /NQU25:XCME @23376.50,,-225.00,,"7,766,280.23"
8/5/25,10:19:07,TRD,5217629612,"SOLD -1,000 /NQU25:XCME @23299.00",,"-2,250.00","-547,000.00","7,217,030.23"
8/5/25,10:23:23,TRD,5217640303,BOT +100 NDX 100 (Weeklys) 5 AUG 25 23180 PUT @54.60,-0.60,-65.00,"-546,000.00","6,670,964.63"
8/5/25,10:42:17,TRD,5217676289,SOLD -100 NDX 100 (Weeklys) 5 AUG 25 23180 PUT @103.10,-0.60,-65.00,"1,031,000.00","7,701,899.03"
8/5/25,10:43:48,TRD,5217688037,BOT +500 /NQU25:XCME @23194.50,,"-1,125.00","1,045,000.00","8,745,774.03"
8/5/25,11:07:02,TRD,5217701979,"SOLD -2,500 FICO @1348.28",-56.96,,"3,370,700.00","12,116,417.07"
8/5/25,14:56:51,TRD,5217951529,"SOLD -24,000 NFLX @1147.36",-465.37,,"27,536,640.00","39,652,591.70"
8/5/25,17:15:00,ADJ,,/BTCQ25:XCME mark to market at 114155.00 preliminary settlement price,,,"-28,537,500.00","11,115,091.70"
8/5/25,18:06:12,TRD,5218027390,SOLD -200 /NQU25:XCME @23074.75,,-450.00,,"11,114,641.70"
8/5/25,18:06:12,TRD,5218027390,BOT +200 /NQU25:XCME @23074.75,,-450.00,,"11,114,191.70"
8/5/25,18:07:55,TRD,5218027399,SOLD -200 /NQU25:XCME @23070.75,,-450.00,,"11,113,741.70"
,,,,TOTAL,($523.53),"($5,980.00)","$3,352,840.00","$11,113,741.70"

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance
,8/5/25,01:00:00,BAL,--,Cash balance at the start of the business day 05.08 CST.,--,--,--,"$10,000.00"

 
"Total Cash $11,113,741.70"


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,8/5/25 18:08:59,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,21535.00,LMT,GTC,WORKING
,,,RE #5218030101,,,,,,,,,,,
,,,TRG BY #5218027399,,,,,,,,,,,
,,,OCO #5218027400,,,,,,,,,,,
,,8/5/25 18:07:55,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,GTC,WORKING
,,,TRG BY #5218027399,,,,,,,,23145.00,STP,STD,
,,,OCO #5218027400,,,,,,,,,,,
,,8/5/25 18:07:55,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,22722.00,LMT,GTC,CANCELED
,,,TRG BY #5218027399,,,,,,,,,,,
,,,OCO #5218027400,,,,,,,,,,,
,,8/5/25 18:07:55,FUTURE,SELL,-200,TO OPEN,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/5/25 18:06:50,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,GTC,CANCELED
,,,TRG BY #5218027394,,,,,,,,BASE+64.75,STP,STD,
,,,OCO #5218027395,,,,,,,,,,,
,,8/5/25 18:06:50,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,BASE-1.00,LMT,GTC,CANCELED
,,,TRG BY #5218027394,,,,,,,,,,,
,,,OCO #5218027395,,,,,,,,,,,
,,8/5/25 18:06:50,FUTURE,SELL,-200,TO OPEN,/NQU25,SEP 25,,FUTURE,227925.00,LMT,GTC,CANCELED
,,8/5/25 18:06:12,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,,TRG BY #5218027390,,,,,,,,23074.25,STP,STD,
,,,OCO #5218027391,,,,,,,,,,,
,,8/5/25 18:06:12,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,23072.25,LMT,DAY,CANCELED
,,,TRG BY #5218027390,,,,,,,,,,,
,,,OCO #5218027391,,,,,,,,,,,
,,8/5/25 18:06:12,FUTURE,SELL,-200,TO OPEN,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/5/25 14:57:11,STOCK,BUY,+12000,TO CLOSE,NFLX,,,STOCK,~,MKT,GTC,WORKING
,,,,,,,,,,,1202.00,STP,STD,
,,8/5/25 14:56:51,STOCK,SELL,-24000,TO CLOSE,NFLX,,,STOCK,~,MKT,DAY,FILLED
,,8/5/25 10:50:25,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,~,MKT,GTC,WORKING
,,,RE #5216556462,,,,,,,,1405.79,STP,STD,
,,,TRG BY #5217701981,,,,,,,,,,,
,,,OCO #5216556460,,,,,,,,,,,
,,8/5/25 10:50:20,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,BASE-1001.00,LMT,GTC,WORKING
,,,RE #5216556461,,,,,,,,346.68,LMT,,
,,,TRG BY #5217701981,,,,,,,,,,,
,,,OCO #5216556460,,,,,,,,,,,
,,8/5/25 10:50:20,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,~,MKT,GTC,CANCELED
,,,RE #5216556462,,,,,,,,BASE+149.28,STP,STD,
,,,TRG BY #5217701981,,,,,,,,,,,
,,,OCO #5216556460,,,,,,,,,,,
,,8/5/25 10:50:20,STOCK,SELL,-2500,TO OPEN,FICO,,,STOCK,1347.68,LMT,GTC,FILLED
,,,RE #5216556459,,,,,,,,,,,
,,8/5/25 10:43:48,FUTURE,BUY,+500,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,,RE #5217688035,,,,,,,,,,,
,,8/5/25 10:43:48,FUTURE,BUY,100%,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,TRIGGERED
,,8/5/25 10:39:16,SINGLE,SELL,-100,TO CLOSE,NDX,5 AUG 25,23180,PUT,100.00,LMT,DAY,FILLED
,,8/5/25 10:38:24,FUTURE,BUY,+500,TO CLOSE,/NQU25,SEP 25,,FUTURE,23189.50,LMT,DAY,CANCELED
,,8/5/25 10:23:14,SINGLE,BUY,+100,TO OPEN,NDX,5 AUG 25,23180,PUT,~,MKT,DAY,FILLED
,,8/5/25 10:19:07,FUTURE,SELL,-1000,TO CLOSE,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/5/25 10:16:43,FUTURE,SELL,-500,TO CLOSE,/NQU25,SEP 25,,FUTURE,23351.00,LMT,DAY,CANCELED
,,8/5/25 10:14:53,FUTURE,SELL,-200,TO OPEN,/ESU25,SEP 25,,FUTURE,6359.25,LMT,DAY,EXPIRED
,,8/5/25 09:49:58,STOCK,SELL,-15000,TO CLOSE,TMO,,,STOCK,620.38,LMT,GTC,WORKING
,,,RE #5217261639,,,,,,,,,,,
,,,TRG BY #5217261637,,,,,,,,,,,
,,,OCO #5217261638,,,,,,,,,,,
,,8/5/25 09:49:36,STOCK,SELL,-100000,TO CLOSE,PYPL,,,STOCK,~,MKT,DAY,EXPIRED
,,,,,,,,,,,66.28,STP,STD,
,,8/5/25 09:45:46,FUTURE,BUY,+100,TO OPEN,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/5/25 09:30:22,FUTURE,BUY,+200,TO OPEN,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/5/25 09:30:09,FUTURE,BUY,+200,TO OPEN,/NQU25,SEP 25,,FUTURE,~,MKT,DAY,FILLED
,,8/4/25 13:37:52,STOCK,SELL,-15000,TO CLOSE,TMO,,,STOCK,~,MKT,GTC,WORKING
,,,TRG BY #5217261637,,,,,,,,BASE-18.70,STP,STD,
,,,OCO #5217261638,,,,,,,,447.73,STP,,
,,8/4/25 13:37:52,STOCK,SELL,-15000,TO CLOSE,TMO,,,STOCK,BASE+1001.00,LMT,GTC,CANCELED
,,,TRG BY #5217261637,,,,,,,,1467.43,LMT,,
,,,OCO #5217261638,,,,,,,,,,,
,,8/4/25 10:53:23,FUTURE,BUY,+50,TO CLOSE,/BTCQ25,AUG 25,,FUTURE,~,MKT,GTC,WORKING
,,,,,,,,,,,117265.00,STP,STD,
,,8/4/25 09:29:08,STOCK,SELL,-30000,TO CLOSE,DHI,,,STOCK,BASE+101.00,LMT,GTC,WAIT TRG
,,,RE #5216903339,,,,,,,,,,,
,,,TRG BY #5216903347,,,,,,,,,,,
,,,OCO #5216903338,,,,,,,,,,,
,,8/4/25 09:29:08,STOCK,SELL,-30000,TO CLOSE,DHI,,,STOCK,~,MKT,GTC,WAIT TRG
,,,RE #5216903340,,,,,,,,BASE-11.00,STP,STD,
,,,TRG BY #5216903347,,,,,,,,,,,
,,,OCO #5216903338,,,,,,,,,,,
,,8/4/25 09:29:08,STOCK,BUY,+30000,TO OPEN,DHI,,,STOCK,145.42,LMT,GTC,WORKING
,,,RE #5216903337,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,~,MKT,GTC,CANCELED
,,,TRG BY #5216556459,,,,,,,,BASE+149.28,STP,STD,
,,,OCO #5216556460,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,BUY,+2500,TO CLOSE,FICO,,,STOCK,BASE-1001.00,LMT,GTC,CANCELED
,,,TRG BY #5216556459,,,,,,,,,,,
,,,OCO #5216556460,,,,,,,,,,,
,,8/1/25 12:27:32,STOCK,SELL,-2500,TO OPEN,FICO,,,STOCK,1442.72,LMT,GTC,CANCELED

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,8/5/25 18:07:55,FUTURE,SELL,-200,TO OPEN,/NQU25,SEP 25,,FUTURE,23070.75,23070.75,MKT
,8/5/25 18:06:12,FUTURE,BUY,+200,TO CLOSE,/NQU25,SEP 25,,FUTURE,23074.75,23074.75,STP
,8/5/25 18:06:12,FUTURE,SELL,-200,TO OPEN,/NQU25,SEP 25,,FUTURE,23074.75,23074.75,MKT
,8/5/25 14:56:51,STOCK,SELL,-24000,TO CLOSE,NFLX,,,STOCK,1147.36,1147.36,MKT
,8/5/25 11:07:02,STOCK,SELL,-2500,TO OPEN,FICO,,,STOCK,1348.28,1348.28,LMT
,8/5/25 10:43:48,FUTURE,BUY,+500,TO CLOSE,/NQU25,SEP 25,,FUTURE,23194.50,23194.50,MKT
,8/5/25 10:42:17,SINGLE,SELL,-100,TO CLOSE,NDX,5 AUG 25,23180,PUT,103.10,103.10,LMT
